ID	Day	pH	NH4-N	NO3-N	NO2-N	Moisture	N2O-N	ID	Type	Sites	Sites2	Day2	Treatment	Treatment1	Treatment2	Treatment3	Treatment4	Type2	Type3	Group	16S	nosZI	nirS	AOB	AOA	nifH	nosZI_P	nirS_P	AOB_P	AOA_P	nifH_P	Group_DNA	Group_cDNA	Treatment_R1	Treatment_R2	Treatment_R3	Day_order
D0.14	0	5.54	1.5	45.7	0.005067435	31.1	34.52257362	D0-14	DNA	D0(10kPa-N)	D0(10kPa-N)	0	No_Urea_10kPa	No Urea	10kPa	LM-N	3. LM-N (16S rDNA)	DNA	DNA_cDNA		1533474.719	47920.05176	35077.18994	10554.33838	135493.8418	57357.13965	3.124932623	2.287431903	0.688262953	8.835740175	3.740338132				No_Urea_10kPa		1
D0.15	0	5.64	1.5	57.9	0.009813265	31.3	35.5147665	D0-15	DNA	D0(10kPa-N)	D0(10kPa-N)	0	No_Urea_10kPa	No Urea	10kPa	LM-N	3. LM-N (16S rDNA)	DNA	DNA_cDNA		1185613.25	48300.5957	39044.37012	12012.80713	142414.877	73237.88867	4.073891356	3.293179299	1.013214649	12.01191678	6.177215772					No_Urea_10kPa	1
D7.01	07	8.54	1603	40.8	4.304342595	53.5	50.36139319	D7-01	DNA	D7(1.0kPa+N)	D7(1.0kPa+N)	7	Urea_1.0kPa	Urea	1.0kPa	HM+N	2. HM+N (16S rDNA)	DNA	DNA_cDNA		1868005.5	48407.70898	34362.99805	78218.17578	108264.6914	68521.5498	2.591411481	1.839555507	4.187256182	5.795737293	3.668166384			Urea_1.0kPa			2
D7.02	07	8.38	1167	75.8	3.420592669	55.1	30.60603044	D7-02	DNA	D7(1.0kPa+N)	D7(1.0kPa+N)	7	Urea_1.0kPa	Urea	1.0kPa	HM+N	2. HM+N (16S rDNA)	DNA	DNA_cDNA	HM	1790921.344	36324.11035	30691.27148	71646.74805	90197.76758	39236.7876	2.02823594	1.713714094	4.00055247	5.036389113	2.190871628		HM		Urea_1.0kPa		2
D7.03	07	8.46	1204.7	94.6	3.056149372	56	113.1089311	D7-03	DNA	D7(1.0kPa+N)	D7(1.0kPa+N)	7	Urea_1.0kPa	Urea	1.0kPa	HM+N	2. HM+N (16S rDNA)	DNA	DNA_cDNA	HM	1250256.547	34162.48242	37840.68359	83057.1582	71647.87695	51144.79102	2.732437795	3.026633509	6.643209221	5.730654011	4.090743707		HM			Urea_1.0kPa	2
D7.08	07	8.61	1476	52.7	1.162592818	28.1	207.7289777	D7-08	DNA	D7(10kPa+N)	D7(10kPa+N)	7	Urea_10kPa	Urea	10kPa	LM+N	4. LM+N (16S rDNA)	DNA	DNA_cDNA	LM	2054719.313	48533.17383	50378.8418	15545.37109	272405.7891	65557.2207	2.362034246	2.451860042	0.756569085	13.25756698	3.190568186		LM	Urea_10kPa	Urea_10kPa	Urea_10kPa	2
D7.09	07	5.42	2.9	37	0	64.9	178.7980846	D7-09	DNA	D7(1.0kPa-N)	D7(1.0kPa-N)	7	No_Urea_1.0kPa	No Urea	1.0kPa	HM-N	1. HM-N (16S rDNA)	DNA	DNA_cDNA	HM	1076654.422	27335.86035	26831.87207	7696.228271	33076.35303	38555.14844	2.538963273	2.492152684	0.714828093	3.072142031	3.581014266		HM	No_Urea_1.0kPa			2
D7.10	07	5.51	1.5	25.9	0	66.8	236.6598709	D7-10	DNA	D7(1.0kPa-N)	D7(1.0kPa-N)	7	No_Urea_1.0kPa	No Urea	1.0kPa	HM-N	1. HM-N (16S rDNA)	DNA	DNA_cDNA	HM	1123225.438	24439.43066	25936.10938	5967.974365	27228.77979	30784.37012	2.175825961	2.309074253	0.531324716	2.424159824	2.740711623		HM		No_Urea_1.0kPa		2
D7.11	07	5.42	2.3	30.8	0	49.7	39.20632027	D7-11	DNA	D7(1.0kPa-N)	D7(1.0kPa-N)	7	No_Urea_1.0kPa	No Urea	1.0kPa	HM-N	1. HM-N (16S rDNA)	DNA	DNA_cDNA	HM	1101928.688	21818.07422	21445.98096	5593.649048	28687.07813	26222.38281	1.979989673	1.946222219	0.507623507	2.603351601	2.379680565		HM			No_Urea_1.0kPa	2
D7.13	07	5.33	2	0	0	27.1	0	D7-13	DNA	D7(10kPa-N)	D7(10kPa-N)	7	No_Urea_10kPa	No Urea	10kPa	LM-N	3. LM-N (16S rDNA)	DNA	DNA_cDNA	LM	1168844.625	31525.70605	29293.73389	8230.259155	35548.23584	50083.10742	2.697168245	2.506212824	0.704136288	3.041314053	4.28483875		LM	No_Urea_10kPa			2
D7.14	07	5.55	2.2	41.3	0.037823431	27.7	0	D7-14	DNA	D7(10kPa-N)	D7(10kPa-N)	7	No_Urea_10kPa	No Urea	10kPa	LM-N	3. LM-N (16S rDNA)	DNA	DNA_cDNA	LM	1173379.25	31868.33154	28898.51221	8583.026855	46160.5791	45381.99512	2.715944699	2.462845002	0.731479345	3.933986314	3.867632321		LM		No_Urea_10kPa		2
D7.15	07	5.34	4.2	38.7	0	27.4	0	D7-15	DNA	D7(10kPa-N)	D7(10kPa-N)	7	No_Urea_10kPa	No Urea	10kPa	LM-N	3. LM-N (16S rDNA)	DNA	DNA_cDNA	LM	1108707.328	27490.22803	26270.05664	7108.17334	42201.47266	38894.55859	2.479484651	2.369431136	0.641122608	3.806367252	3.508099713		LM			No_Urea_10kPa	2
D14.02	14	7.55	1223.9	104	38.49322321	53.8	75.32917819	D14-02	DNA	D14(1.0kPa+N)	D14(1.0kPa+N)	14	Urea_1.0kPa	Urea	1.0kPa	HM+N	2. HM+N (16S rDNA)	DNA	DNA_cDNA	HM	1296122.375	32329.49658	34118.86475	195208.8867	64616.28027	43154.98242	2.494324395	2.63237989	15.06099196	4.985353352	3.329545362		HM	Urea_1.0kPa			3
D14.03	14	7.58	1068.3	162.7	18.33686274	51.2	1129.975672	D14-03	DNA	D14(1.0kPa+N)	D14(1.0kPa+N)	14	Urea_1.0kPa	Urea	1.0kPa	HM+N	2. HM+N (16S rDNA)	DNA	DNA_cDNA	HM	1314298.469	29901.78076	31427.51953	177814.8008	68818.45801	38716.25	2.275113414	2.391201107	13.52925572	5.236136208	2.945773043		HM		Urea_1.0kPa		3
D14.04	14	8.08	1131.5	165.7	46.82380547	49.4	2879.097798	D14-04	DNA	D14(1.0kPa+N)	D14(1.0kPa+N)	14	Urea_1.0kPa	Urea	1.0kPa	HM+N	2. HM+N (16S rDNA)	DNA	DNA_cDNA	HM	1423558.906	30482.55713	30480.6416	180342.1055	78773.22363	46900.19824	2.141292292	2.141157733	12.66839782	5.533541555	3.294573764		HM			Urea_1.0kPa	3
D14.06	14	8.06	1370.3	58	11.71605001	29.7	31.44276306	D14-06	DNA	D14(10kPa+N)	D14(10kPa+N)	14	Urea_10kPa	Urea	10kPa	LM+N	4. LM+N (16S rDNA)	DNA	DNA_cDNA	LM	962310.9844	27880.48584	31825.16895	46537.05078	50322.52148	32379.44434	2.897242814	3.307160519	4.83596795	5.229340858	3.364758884		LM	Urea_10kPa			3
D14.07	14	8.08	1252.3	54.8	10.33951073	30.5	14.39642837	D14-07	DNA	D14(10kPa+N)	D14(10kPa+N)	14	Urea_10kPa	Urea	10kPa	LM+N	4. LM+N (16S rDNA)	DNA	DNA_cDNA	LM	1094444.938	27150.72607	26271.854	54615.63965	38195.15381	22268.53418	2.480775884	2.400472889	4.990259243	3.489910959	2.034687486		LM		Urea_10kPa		3
D14.08	14	8.11	1277.8	46	11.13081838	29.9	93.68372337	D14-08	DNA	D14(10kPa+N)	D14(10kPa+N)	14	Urea_10kPa	Urea	10kPa	LM+N	4. LM+N (16S rDNA)	DNA	DNA_cDNA	LM	1255843.656	29250.99902	37506.69238	83540.35156	40184.11621	25003.79492	2.329191128	2.986573384	6.652129917	3.199770609	1.990995838		LM			Urea_10kPa	3
D21.01	21	7.36	985.4	89.9	134.5294798	52.4	5497.837159	D21-01	DNA	D21(1.0kPa+N)	D21(1.0kPa+N)	21	Urea_1.0kPa	Urea	1.0kPa	HM+N	2. HM+N (16S rDNA)	DNA	DNA_cDNA	HM	1452029.469	30349.08691	27161.79248	362055.0078	36530.01465	30198.39355	2.090115082	1.870608901	24.93441184	2.515790171	2.079736962		HM	Urea_1.0kPa			4
D21.04	21	6.52	1142.8	199.5	87.70636039	53.4	7719.744867	D21-04	DNA	D21(1.0kPa+N)	D21(1.0kPa+N)	21	Urea_1.0kPa	Urea	1.0kPa	HM+N	2. HM+N (16S rDNA)	DNA	DNA_cDNA	HM	1426098.156	30442.10205	28228.3999	245646.4258	73817.02832	34191.21094	2.134642831	1.979414936	17.22507141	5.176153408	2.397535597		HM		Urea_1.0kPa	Urea_1.0kPa	4
D21.08	21	7.54	1167.1	113.2	30.03261254	30.1	207.6475672	D21-08	DNA	D21(10kPa+N)	D21(10kPa+N)	21	Urea_10kPa	Urea	10kPa	LM+N	4. LM+N (16S rDNA)	DNA	DNA_cDNA	LM	2105326.219	51854.30273	50806.59375	186044.1563	76477.31055	66628.03418	2.463005603	2.413240917	8.836832724	3.632563442	3.164736827		LM	Urea_10kPa	Urea_10kPa	Urea_10kPa	4
D21.09	21	5.41	0	24	0.257388809	60.3	68.39282969	D21-09	DNA	D21(1.0kPa-N)	D21(1.0kPa-N)	21	No_Urea_1.0kPa	No Urea	1.0kPa	HM-N	1. HM-N (16S rDNA)	DNA	DNA_cDNA	HM	1285820	29188.07129	28277.97461	8096.368408	42551.15283	36549.24268	2.269996678	2.199217201	0.62966577	3.309262014	2.842485159		HM	No_Urea_1.0kPa			4
D21.10	21	5.45	0.1	23	0.173798844	57.3	69.51522047	D21-10	DNA	D21(1.0kPa-N)	D21(1.0kPa-N)	21	No_Urea_1.0kPa	No Urea	1.0kPa	HM-N	1. HM-N (16S rDNA)	DNA	DNA_cDNA	HM	1361420.5	37032.44824	32666.42041	9860.98877	56633.40723	54350.21387	2.720132997	2.399436501	0.724316166	4.15987619	3.992169493		HM		No_Urea_1.0kPa		4
D21.11	21	5.48	0.2	26.1	0.0516431	48	9.828282022	D21-11	DNA	D21(1.0kPa-N)	D21(1.0kPa-N)	21	No_Urea_1.0kPa	No Urea	1.0kPa	HM-N	1. HM-N (16S rDNA)	DNA	DNA_cDNA	HM	1478662.906	39974.39941	34869.55371	10300.32837	60167.66992	56287.66504	2.703415312	2.358181406	0.696597468	4.069059261	3.806659706		HM			No_Urea_1.0kPa	4
D21.16	21	5.5	0.2	36.5	0	27.5	3.459456181	D21-16	DNA	D21(10kPa-N)	D21(10kPa-N)	21	No_Urea_10kPa	No Urea	10kPa	LM-N	3. LM-N (16S rDNA)	DNA	DNA_cDNA	LM	1936896.063	43623.37305	35800.88086	10980.83789	77323.52344	61673.75488	2.252230974	1.848363552	0.566929641	3.99213592	3.184154074		LM	No_Urea_10kPa	No_Urea_10kPa	No_Urea_10kPa	4
D35.01	35	5.56	799	389	7.757271625	54.8	30155.14358	D35-01	DNA	D35(1.0kPa+N)	D35(1.0kPa+N)	35	Urea_1.0kPa	Urea	1.0kPa	HM+N	2. HM+N (16S rDNA)	DNA	DNA_cDNA	HM	1250832.156	31018.06885	29268.45361	208579.5352	11393.25098	41067.5293	2.479794647	2.339918547	16.67526167	0.9108537	3.283216624		HM	Urea_1.0kPa			5
D35.02	35	5.27	674.2	366.6	1.210263164	53.5	3166.565397	D35-02	DNA	D35(1.0kPa+N)	D35(1.0kPa+N)	35	Urea_1.0kPa	Urea	1.0kPa	HM+N	2. HM+N (16S rDNA)	DNA	DNA_cDNA	HM	1323586.188	27952.15332	35105.75586	218820.9141	21825.03955	40711.5791	2.111849881	2.65232111	16.53242653	1.648932254	3.075854031		HM		Urea_1.0kPa		5
D35.03	35	5.07	639.4	422.5	0.114145805	53.6	2376.47712	D35-03	DNA	D35(1.0kPa+N)	D35(1.0kPa+N)	35	Urea_1.0kPa	Urea	1.0kPa	HM+N	2. HM+N (16S rDNA)	DNA	DNA_cDNA	HM	1789108.031	40456.43457	40211.06348	184580.7188	31616.57568	46965.29492	2.261262812	2.247548095	10.31691298	1.767169737	2.625067581		HM			Urea_1.0kPa	5
D35.05	35	6.92	1249.8	324.6	0.395243182	28.1	90.20502042	D35-05	DNA	D35(10kPa+N)	D35(10kPa+N)	35	Urea_10kPa	Urea	10kPa	LM+N	4. LM+N (16S rDNA)	DNA	DNA_cDNA	LM	1659830.469	28817.56934	41767.11816	243611.3438	38308.80664	36522.92041	1.736175464	2.516348443	14.67688106	2.307995145	2.200400649		LM	Urea_10kPa			5
D35.06	35	6.54	1210.9	357.9	0.385075494	27.8	277.323532	D35-06	DNA	D35(10kPa+N)	D35(10kPa+N)	35	Urea_10kPa	Urea	10kPa	LM+N	4. LM+N (16S rDNA)	DNA	DNA_cDNA	LM	1704273.719	29651.4751	36529.7998	181833.0273	42907.77734	30159.64136	1.739830567	2.14342329	10.66923848	2.517657632	1.769647741		LM		Urea_10kPa		5
D35.07	35	6.73	1073.4	316.7	0.178394595	28.4	343.1453771	D35-07	DNA	D35(10kPa+N)	D35(10kPa+N)	35	Urea_10kPa	Urea	10kPa	LM+N	4. LM+N (16S rDNA)	DNA	DNA_cDNA	LM	1795658.5	35254.36523	41810.07227	195950.543	29301.79932	29380.177	1.963311244	2.328397759	10.91246153	1.631813584	1.636178427		LM			Urea_10kPa	5
D63.01	63	6.29	357.7	234	0.07	55.2	910.8322272	D63-01	DNA	D63(1.0kPa+N)	D63(1.0kPa+N)	63	Urea_1.0kPa	Urea	1.0kPa	HM+N	2. HM+N (16S rDNA)	DNA	DNA_cDNA	HM	1114905.344	41106.23633	67307.89355	53600.37598	18322.57324	24160.69824	3.686970967	6.037094892	4.807616743	1.643419627	2.167062736		HM	Urea_1.0kPa			6
D63.02	63	6.49	509.5	112.4	0.12	51	367.8671931	D63-02	DNA	D63(1.0kPa+N)	D63(1.0kPa+N)	63	Urea_1.0kPa	Urea	1.0kPa	HM+N	2. HM+N (16S rDNA)	DNA	DNA_cDNA	HM	1109079.469	39262.8916	123271.2109	85795.37891	12706.61108	30616.49902	3.5401333	11.11473203	7.735728712	1.145689866	2.760532485		HM		Urea_1.0kPa		6
D63.03	63	5.86	270.3	267.5	0.05	49.9	213.4831509	D63-03	DNA	D63(1.0kPa+N)	D63(1.0kPa+N)	63	Urea_1.0kPa	Urea	1.0kPa	HM+N	2. HM+N (16S rDNA)	DNA	DNA_cDNA	HM	1069742.266	28958.97168	17573.3562	45423.90332	4028.73053	30119.33984	2.707098019	1.642765437	4.246247417	0.376607587	2.81556977		HM			Urea_1.0kPa	6
D63.05	63	5.64	803.7	408.3	0.05	27.2	20.90775416	D63-05	DNA	D63(10kPa+N)	D63(10kPa+N)	63	Urea_10kPa	Urea	10kPa	LM+N	4. LM+N (16S rDNA)	DNA	DNA_cDNA	LM	1622743.313	26054.55859	25511.28955	76376.4668	36727.26074	21669.09473	1.60558718	1.572108747	4.706626502	2.263282212	1.335337176		LM	Urea_10kPa			6
D63.06	63	5.76	810.4	363.3	0.05	27.2	23.81249338	D63-06	DNA	D63(10kPa+N)	D63(10kPa+N)	63	Urea_10kPa	Urea	10kPa	LM+N	4. LM+N (16S rDNA)	DNA	DNA_cDNA	LM	1496023.875	30323.12207	33680.19043	59893.4043	18305.57666	38611.17578	2.026914315	2.251313698	4.003505913	1.223615276	2.580919759		LM		Urea_10kPa		6
D63.07	63	5.67	839.9	360.9	0.06	28.7	12.96283477	D63-07	DNA	D63(10kPa+N)	D63(10kPa+N)	63	Urea_10kPa	Urea	10kPa	LM+N	4. LM+N (16S rDNA)	DNA	DNA_cDNA	LM	833964.7188	23506.12354	22899.90234	46038.17969	10804.69458	31219.0332	2.818599277	2.74590781	5.520398963	1.295581736	3.743447714		LM			Urea_10kPa	6
D63.09	63	5.51	2.1	30	0.07	44.4	59.54564276	D63-09	DNA	D63(1.0kPa-N)	D63(1.0kPa-N)	63	No_Urea_1.0kPa	No Urea	1.0kPa	HM-N	1. HM-N (16S rDNA)	DNA	DNA_cDNA	HM	954588.4844	34975.72559	33370.73242	9460.930908	50702.50684	56692.01855	3.663958466	3.495823904	0.991100465	5.311451758	5.93889613		HM	No_Urea_1.0kPa			6
D63.10	63	5.75	2.6	23	0.1	52.3	119.0930799	D63-10	DNA	D63(1.0kPa-N)	D63(1.0kPa-N)	63	No_Urea_1.0kPa	No Urea	1.0kPa	HM-N	1. HM-N (16S rDNA)	DNA	DNA_cDNA	HM	1162044.719	34383.08594	32738.16016	8025.314575	48678.7041	53104.12598	2.958843613	2.817289182	0.690620115	4.189056008	4.569886608		HM		No_Urea_1.0kPa		6
D63.11	63	5.54	1.9	29.2	0.08	50.3	49.90212505	D63-11	DNA	D63(1.0kPa-N)	D63(1.0kPa-N)	63	No_Urea_1.0kPa	No Urea	1.0kPa	HM-N	1. HM-N (16S rDNA)	DNA	DNA_cDNA	HM	1055338.469	26975.14795	26873.1416	8301.763794	51527.31641	38257.53223	2.556066016	2.546400269	0.786644668	4.882539387	3.625143341		HM			No_Urea_1.0kPa	6
D63.13	63	5.25	1.9	33.5	0.04	28.5	0	D63-13	DNA	D63(10kPa-N)	D63(10kPa-N)	63	No_Urea_10kPa	No Urea	10kPa	LM-N	3. LM-N (16S rDNA)	DNA	DNA_cDNA	LM	1102043.351	31028.40527	26714.98779	9301.838013	74814.42285	40585.5166	2.815534003	2.424132206	0.84405373	6.788700534	3.682751369		LM	No_Urea_10kPa			6
D63.14	63	5.31	0.9	40.5	0.04	27.2	0	D63-14	DNA	D63(10kPa-N)	D63(10kPa-N)	63	No_Urea_10kPa	No Urea	10kPa	LM-N	3. LM-N (16S rDNA)	DNA	DNA_cDNA	LM	1482848.5	43670.55176	34428.10693	10992.07397	120830.1426	65449.97363	2.94504474	2.321754848	0.741280986	8.148515683	4.413800441		LM		No_Urea_10kPa		6
D63.15	63	5.59	1	41	0.06	26.1	0	D63-15	DNA	D63(10kPa-N)	D63(10kPa-N)	63	No_Urea_10kPa	No Urea	10kPa	LM-N	3. LM-N (16S rDNA)	DNA	DNA_cDNA	LM	1030550.375	30208.146	27293.29639	8097.044556	43170.22656	38205.58984	2.931263403	2.648419432	0.785700996	4.189045738	3.707299592		LM			No_Urea_10kPa	6
